Instance,Solution,Run,Time,Value
chao_1.25,B,1,752,504.025
chao_1.25,B,2,755,467.411
chao_1.25,B,3,761,477.29
chao_1.25,B,4,770,487.994
chao_1.25,B,5,756,477.461
chao_1.25,B,6,754,491.267
chao_1.25,B,7,739,486.988
chao_1.25,B,8,756,441.808
chao_1.25,B,9,764,510.582
chao_1.25,B,10,752,498.243
chao_1.25,C,1,782,485.502
chao_1.25,C,2,769,463.813
chao_1.25,C,3,781,472.358
chao_1.25,C,4,778,455.589
chao_1.25,C,5,784,463.452
chao_1.25,C,6,768,454.071
chao_1.25,C,7,761,466.102
chao_1.25,C,8,770,449.152
chao_1.25,C,9,782,483.721
chao_1.25,C,10,773,468.623
chao_1.25,R,1,758,514.74
chao_1.25,R,2,760,522.144
chao_1.25,R,3,758,517.709
chao_1.25,R,4,754,460.624
chao_1.25,R,5,760,512.577
chao_1.25,R,6,767,492.144
chao_1.25,R,7,756,489.871
chao_1.25,R,8,749,488.851
chao_1.25,R,9,757,517.841
chao_1.25,R,10,761,497.38
chao_1.30a,B,1,1093,586.116
chao_1.30a,B,2,1064,586.797
chao_1.30a,B,3,1076,567.784
chao_1.30a,B,4,1061,560.356
chao_1.30a,B,5,1082,577.46
chao_1.30a,B,6,1112,564.795
chao_1.30a,B,7,1079,540.716
chao_1.30a,B,8,1065,581.675
chao_1.30a,B,9,1105,565.04
chao_1.30a,B,10,1063,579.689
chao_1.30a,C,1,1082,596.122
chao_1.30a,C,2,1081,558.014
chao_1.30a,C,3,1094,558.935
chao_1.30a,C,4,1125,601.579
chao_1.30a,C,5,1078,578.07
chao_1.30a,C,6,1107,585.473
chao_1.30a,C,7,1094,586.92
chao_1.30a,C,8,1093,571.746
chao_1.30a,C,9,1087,583.78
chao_1.30a,C,10,1074,562.699
chao_1.30a,R,1,1083,551.912
chao_1.30a,R,2,1073,562.202
chao_1.30a,R,3,1076,595.289
chao_1.30a,R,4,1081,620.025
chao_1.30a,R,5,1073,596.894
chao_1.30a,R,6,1088,582.553
chao_1.30a,R,7,1091,590.052
chao_1.30a,R,8,1076,591.168
chao_1.30a,R,9,1065,595.047
chao_1.30a,R,10,1071,607.445
chao_1.30b,B,1,1048,516.09
chao_1.30b,B,2,1062,522.74
chao_1.30b,B,3,1067,553.162
chao_1.30b,B,4,1050,544.729
chao_1.30b,B,5,1049,531.16
chao_1.30b,B,6,1050,555.129
chao_1.30b,B,7,1048,527.407
chao_1.30b,B,8,1050,531.776
chao_1.30b,B,9,1049,544.863
chao_1.30b,B,10,1052,521.32
chao_1.30b,C,1,1083,567.047
chao_1.30b,C,2,1085,533.481
chao_1.30b,C,3,1060,532.336
chao_1.30b,C,4,1105,539.513
chao_1.30b,C,5,1105,522.743
chao_1.30b,C,6,1124,556.233
chao_1.30b,C,7,1126,487.047
chao_1.30b,C,8,1105,550.263
chao_1.30b,C,9,1070,551.308
chao_1.30b,C,10,1071,551.541
chao_1.30b,R,1,1105,539.471
chao_1.30b,R,2,1050,567.225
chao_1.30b,R,3,1048,554.937
chao_1.30b,R,4,1055,589.916
chao_1.30b,R,5,1054,575.032
chao_1.30b,R,6,1048,583.788
chao_1.30b,R,7,1052,539.945
chao_1.30b,R,8,1057,561.417
chao_1.30b,R,9,1075,576.404
chao_1.30b,R,10,1062,
chao_1.30c,B,1,909,544.469
chao_1.30c,B,2,917,531.979
chao_1.30c,B,3,927,505.919
chao_1.30c,B,4,915,546.04
chao_1.30c,B,5,904,544.677
chao_1.30c,B,6,900,543.217
chao_1.30c,B,7,920,555.016
chao_1.30c,B,8,902,546.317
chao_1.30c,B,9,915,573.999
chao_1.30c,B,10,907,500.304
chao_1.30c,C,1,994,555.374
chao_1.30c,C,2,1023,543.661
chao_1.30c,C,3,1023,532.522
chao_1.30c,C,4,1007,506.001
chao_1.30c,C,5,1011,546.49
chao_1.30c,C,6,1006,557.003
chao_1.30c,C,7,1014,490.951
chao_1.30c,C,8,1027,528.323
chao_1.30c,C,9,1010,540.846
chao_1.30c,C,10,1014,556.641
chao_1.30c,R,1,882,566.195
chao_1.30c,R,2,895,591.051
chao_1.30c,R,3,884,609.821
chao_1.30c,R,4,881,616.706
chao_1.30c,R,5,875,579.369
chao_1.30c,R,6,892,602.923
chao_1.30c,R,7,880,592.202
chao_1.30c,R,8,888,570.591
chao_1.30c,R,9,903,582.984
chao_1.30c,R,10,898,587.084
chao_1.40a,B,1,1776,762.583
chao_1.40a,B,2,1746,740.939
chao_1.40a,B,3,1759,741.455
chao_1.40a,B,4,1761,740.913
chao_1.40a,B,5,1759,787.417
chao_1.40a,B,6,1756,754.638
chao_1.40a,B,7,1750,672.643
chao_1.40a,B,8,1748,746.607
chao_1.40a,B,9,1745,778.88
chao_1.40a,B,10,1744,736.436
chao_1.40a,C,1,1787,751.174
chao_1.40a,C,2,1802,719.502
chao_1.40a,C,3,1782,729.008
chao_1.40a,C,4,1913,740.885
