Instance: chao_1.25, Solution: SolutionB, Run: 1, Execution time: 752 ms, Total distance: 504.025
Instance: chao_1.25, Solution: SolutionB, Run: 2, Execution time: 755 ms, Total distance: 467.411
Instance: chao_1.25, Solution: SolutionB, Run: 3, Execution time: 761 ms, Total distance: 477.29
Instance: chao_1.25, Solution: SolutionB, Run: 4, Execution time: 770 ms, Total distance: 487.994
Instance: chao_1.25, Solution: SolutionB, Run: 5, Execution time: 756 ms, Total distance: 477.461
Instance: chao_1.25, Solution: SolutionB, Run: 6, Execution time: 754 ms, Total distance: 491.267
Instance: chao_1.25, Solution: SolutionB, Run: 7, Execution time: 739 ms, Total distance: 486.988
Instance: chao_1.25, Solution: SolutionB, Run: 8, Execution time: 756 ms, Total distance: 441.808
Instance: chao_1.25, Solution: SolutionB, Run: 9, Execution time: 764 ms, Total distance: 510.582
Instance: chao_1.25, Solution: SolutionB, Run: 10, Execution time: 752 ms, Total distance: 498.243
Instance: chao_1.25, Solution: SolutionC, Run: 1, Execution time: 782 ms, Total distance: 485.502
Instance: chao_1.25, Solution: SolutionC, Run: 2, Execution time: 769 ms, Total distance: 463.813
Instance: chao_1.25, Solution: SolutionC, Run: 3, Execution time: 781 ms, Total distance: 472.358
Instance: chao_1.25, Solution: SolutionC, Run: 4, Execution time: 778 ms, Total distance: 455.589
Instance: chao_1.25, Solution: SolutionC, Run: 5, Execution time: 784 ms, Total distance: 463.452
Instance: chao_1.25, Solution: SolutionC, Run: 6, Execution time: 768 ms, Total distance: 454.071
Instance: chao_1.25, Solution: SolutionC, Run: 7, Execution time: 761 ms, Total distance: 466.102
Instance: chao_1.25, Solution: SolutionC, Run: 8, Execution time: 770 ms, Total distance: 449.152
Instance: chao_1.25, Solution: SolutionC, Run: 9, Execution time: 782 ms, Total distance: 483.721
Instance: chao_1.25, Solution: SolutionC, Run: 10, Execution time: 773 ms, Total distance: 468.623
Instance: chao_1.25, Solution: SolutionR, Run: 1, Execution time: 758 ms, Total distance: 514.74
Instance: chao_1.25, Solution: SolutionR, Run: 2, Execution time: 760 ms, Total distance: 522.144
Instance: chao_1.25, Solution: SolutionR, Run: 3, Execution time: 758 ms, Total distance: 517.709
Instance: chao_1.25, Solution: SolutionR, Run: 4, Execution time: 754 ms, Total distance: 460.624
Instance: chao_1.25, Solution: SolutionR, Run: 5, Execution time: 760 ms, Total distance: 512.577
Instance: chao_1.25, Solution: SolutionR, Run: 6, Execution time: 767 ms, Total distance: 492.144
Instance: chao_1.25, Solution: SolutionR, Run: 7, Execution time: 756 ms, Total distance: 489.871
Instance: chao_1.25, Solution: SolutionR, Run: 8, Execution time: 749 ms, Total distance: 488.851
Instance: chao_1.25, Solution: SolutionR, Run: 9, Execution time: 757 ms, Total distance: 517.841
Instance: chao_1.25, Solution: SolutionR, Run: 10, Execution time: 761 ms, Total distance: 497.38
Instance: chao_1.30a, Solution: SolutionB, Run: 1, Execution time: 1093 ms, Total distance: 586.116
Instance: chao_1.30a, Solution: SolutionB, Run: 2, Execution time: 1064 ms, Total distance: 586.797
Instance: chao_1.30a, Solution: SolutionB, Run: 3, Execution time: 1076 ms, Total distance: 567.784
Instance: chao_1.30a, Solution: SolutionB, Run: 4, Execution time: 1061 ms, Total distance: 560.356
Instance: chao_1.30a, Solution: SolutionB, Run: 5, Execution time: 1082 ms, Total distance: 577.46
Instance: chao_1.30a, Solution: SolutionB, Run: 6, Execution time: 1112 ms, Total distance: 564.795
Instance: chao_1.30a, Solution: SolutionB, Run: 7, Execution time: 1079 ms, Total distance: 540.716
Instance: chao_1.30a, Solution: SolutionB, Run: 8, Execution time: 1065 ms, Total distance: 581.675
Instance: chao_1.30a, Solution: SolutionB, Run: 9, Execution time: 1105 ms, Total distance: 565.04
Instance: chao_1.30a, Solution: SolutionB, Run: 10, Execution time: 1063 ms, Total distance: 579.689
Instance: chao_1.30a, Solution: SolutionC, Run: 1, Execution time: 1082 ms, Total distance: 596.122
Instance: chao_1.30a, Solution: SolutionC, Run: 2, Execution time: 1081 ms, Total distance: 558.014
Instance: chao_1.30a, Solution: SolutionC, Run: 3, Execution time: 1094 ms, Total distance: 558.935
Instance: chao_1.30a, Solution: SolutionC, Run: 4, Execution time: 1125 ms, Total distance: 601.579
Instance: chao_1.30a, Solution: SolutionC, Run: 5, Execution time: 1078 ms, Total distance: 578.07
Instance: chao_1.30a, Solution: SolutionC, Run: 6, Execution time: 1107 ms, Total distance: 585.473
Instance: chao_1.30a, Solution: SolutionC, Run: 7, Execution time: 1094 ms, Total distance: 586.92
Instance: chao_1.30a, Solution: SolutionC, Run: 8, Execution time: 1093 ms, Total distance: 571.746
Instance: chao_1.30a, Solution: SolutionC, Run: 9, Execution time: 1087 ms, Total distance: 583.78
Instance: chao_1.30a, Solution: SolutionC, Run: 10, Execution time: 1074 ms, Total distance: 562.699
Instance: chao_1.30a, Solution: SolutionR, Run: 1, Execution time: 1083 ms, Total distance: 551.912
Instance: chao_1.30a, Solution: SolutionR, Run: 2, Execution time: 1073 ms, Total distance: 562.202
Instance: chao_1.30a, Solution: SolutionR, Run: 3, Execution time: 1076 ms, Total distance: 595.289
Instance: chao_1.30a, Solution: SolutionR, Run: 4, Execution time: 1081 ms, Total distance: 620.025
Instance: chao_1.30a, Solution: SolutionR, Run: 5, Execution time: 1073 ms, Total distance: 596.894
Instance: chao_1.30a, Solution: SolutionR, Run: 6, Execution time: 1088 ms, Total distance: 582.553
Instance: chao_1.30a, Solution: SolutionR, Run: 7, Execution time: 1091 ms, Total distance: 590.052
Instance: chao_1.30a, Solution: SolutionR, Run: 8, Execution time: 1076 ms, Total distance: 591.168
Instance: chao_1.30a, Solution: SolutionR, Run: 9, Execution time: 1065 ms, Total distance: 595.047
Instance: chao_1.30a, Solution: SolutionR, Run: 10, Execution time: 1071 ms, Total distance: 607.445
Instance: chao_1.30b, Solution: SolutionB, Run: 1, Execution time: 1048 ms, Total distance: 516.09
Instance: chao_1.30b, Solution: SolutionB, Run: 2, Execution time: 1062 ms, Total distance: 522.74
Instance: chao_1.30b, Solution: SolutionB, Run: 3, Execution time: 1067 ms, Total distance: 553.162
Instance: chao_1.30b, Solution: SolutionB, Run: 4, Execution time: 1050 ms, Total distance: 544.729
Instance: chao_1.30b, Solution: SolutionB, Run: 5, Execution time: 1049 ms, Total distance: 531.16
Instance: chao_1.30b, Solution: SolutionB, Run: 6, Execution time: 1050 ms, Total distance: 555.129
Instance: chao_1.30b, Solution: SolutionB, Run: 7, Execution time: 1048 ms, Total distance: 527.407
Instance: chao_1.30b, Solution: SolutionB, Run: 8, Execution time: 1050 ms, Total distance: 531.776
Instance: chao_1.30b, Solution: SolutionB, Run: 9, Execution time: 1049 ms, Total distance: 544.863
Instance: chao_1.30b, Solution: SolutionB, Run: 10, Execution time: 1052 ms, Total distance: 521.32
Instance: chao_1.30b, Solution: SolutionC, Run: 1, Execution time: 1083 ms, Total distance: 567.047
Instance: chao_1.30b, Solution: SolutionC, Run: 2, Execution time: 1085 ms, Total distance: 533.481
Instance: chao_1.30b, Solution: SolutionC, Run: 3, Execution time: 1060 ms, Total distance: 532.336
Instance: chao_1.30b, Solution: SolutionC, Run: 4, Execution time: 1105 ms, Total distance: 539.513
Instance: chao_1.30b, Solution: SolutionC, Run: 5, Execution time: 1105 ms, Total distance: 522.743
Instance: chao_1.30b, Solution: SolutionC, Run: 6, Execution time: 1124 ms, Total distance: 556.233
Instance: chao_1.30b, Solution: SolutionC, Run: 7, Execution time: 1126 ms, Total distance: 487.047
Instance: chao_1.30b, Solution: SolutionC, Run: 8, Execution time: 1105 ms, Total distance: 550.263
Instance: chao_1.30b, Solution: SolutionC, Run: 9, Execution time: 1070 ms, Total distance: 551.308
Instance: chao_1.30b, Solution: SolutionC, Run: 10, Execution time: 1071 ms, Total distance: 551.541
Instance: chao_1.30b, Solution: SolutionR, Run: 1, Execution time: 1105 ms, Total distance: 539.471
Instance: chao_1.30b, Solution: SolutionR, Run: 2, Execution time: 1050 ms, Total distance: 567.225
Instance: chao_1.30b, Solution: SolutionR, Run: 3, Execution time: 1048 ms, Total distance: 554.937
Instance: chao_1.30b, Solution: SolutionR, Run: 4, Execution time: 1055 ms, Total distance: 589.916
Instance: chao_1.30b, Solution: SolutionR, Run: 5, Execution time: 1054 ms, Total distance: 575.032
Instance: chao_1.30b, Solution: SolutionR, Run: 6, Execution time: 1048 ms, Total distance: 583.788
Instance: chao_1.30b, Solution: SolutionR, Run: 7, Execution time: 1052 ms, Total distance: 539.945
Instance: chao_1.30b, Solution: SolutionR, Run: 8, Execution time: 1057 ms, Total distance: 561.417
