Instance: small1-10A, Execution time: 3347 ms, Total distance: 250.919
Instance: small1-10B, Execution time: 3419 ms, Total distance: 238.631
Instance: small1-10C, Execution time: 3206 ms, Total distance: 229.869
Instance: small1-5A, Execution time: 1413 ms, Total distance: 194.299
Instance: small1-5B, Execution time: 1376 ms, Total distance: 160.748
Instance: small1-5C, Execution time: 1306 ms, Total distance: 160.748
Instance: small10-10A, Execution time: 3362 ms, Total distance: 263.646
Instance: small10-10B, Execution time: 3386 ms, Total distance: 263.219
Instance: small10-10C, Execution time: 3257 ms, Total distance: 235.218
Instance: small10-5A, Execution time: 1389 ms, Total distance: 170.4
Instance: small10-5B, Execution time: 1385 ms, Total distance: 142.6
Instance: small10-5C, Execution time: 1319 ms, Total distance: 148.04
Instance: small11-10A, Execution time: 3474 ms, Total distance: 251.551
Instance: small11-10B, Execution time: 3400 ms, Total distance: 232.533
Instance: small11-10C, Execution time: 3280 ms, Total distance: 197.353
Instance: small11-5A, Execution time: 1391 ms, Total distance: 174.472
Instance: small11-5B, Execution time: 1381 ms, Total distance: 145.165
Instance: small11-5C, Execution time: 1234 ms, Total distance: 151.025
Instance: small12-10A, Execution time: 3223 ms, Total distance: 272.756
Instance: small12-10B, Execution time: 3337 ms, Total distance: 211.879
Instance: small12-10C, Execution time: 2782 ms, Total distance: 2181.66
Instance: small12-5A, Execution time: 1297 ms, Total distance: 164.695
Instance: small12-5B, Execution time: 1384 ms, Total distance: 134.247
Instance: small12-5C, Execution time: 1106 ms, Total distance: 1093.02
Instance: small2-10A, Execution time: 3403 ms, Total distance: 239.697
Instance: small2-10B, Execution time: 3471 ms, Total distance: 215.328
Instance: small2-10C, Execution time: 3048 ms, Total distance: 220.228
Instance: small2-5A, Execution time: 1364 ms, Total distance: 165.418
Instance: small2-5B, Execution time: 1176 ms, Total distance: 166.45
Instance: small2-5C, Execution time: 1465 ms, Total distance: 123.117
Instance: small3-10A, Execution time: 3246 ms, Total distance: 279.175
Instance: small3-10B, Execution time: 3445 ms, Total distance: 229.378
Instance: small3-10C, Execution time: 2686 ms, Total distance: 2169.12
Instance: small3-5A, Execution time: 1235 ms, Total distance: 1114.88
Instance: small3-5B, Execution time: 1374 ms, Total distance: 156.069
Instance: small3-5C, Execution time: 1064 ms, Total distance: 1126.9
Instance: small4-10A, Execution time: 3426 ms, Total distance: 218.003
Instance: small4-10B, Execution time: 3451 ms, Total distance: 213.197
Instance: small4-10C, Execution time: 3259 ms, Total distance: 179.981
Instance: small4-5A, Execution time: 1331 ms, Total distance: 160.374
Instance: small4-5B, Execution time: 1367 ms, Total distance: 134.112
Instance: small4-5C, Execution time: 1182 ms, Total distance: 1090.45
Instance: small5-10A, Execution time: 3339 ms, Total distance: 268.168
Instance: small5-10B, Execution time: 3367 ms, Total distance: 272.064
Instance: small5-10C, Execution time: 3231 ms, Total distance: 236.349
Instance: small5-5A, Execution time: 1299 ms, Total distance: 176.965
Instance: small5-5B, Execution time: 1378 ms, Total distance: 141.323
Instance: small5-5C, Execution time: 1170 ms, Total distance: 135.795
Instance: small6-10A, Execution time: 3307 ms, Total distance: 1252.28
Instance: small6-10B, Execution time: 3407 ms, Total distance: 271.716
Instance: small6-10C, Execution time: 2597 ms, Total distance: 2215.64
Instance: small6-5A, Execution time: 1319 ms, Total distance: 1105.05
Instance: small6-5B, Execution time: 1328 ms, Total distance: 149.384
Instance: small6-5C, Execution time: 1177 ms, Total distance: 1105.43
Instance: small7-10A, Execution time: 3403 ms, Total distance: 251.379
Instance: small7-10B, Execution time: 3454 ms, Total distance: 223.173
Instance: small7-10C, Execution time: 3284 ms, Total distance: 202.491
Instance: small7-5A, Execution time: 1312 ms, Total distance: 155.61
Instance: small7-5B, Execution time: 1395 ms, Total distance: 168.851
Instance: small7-5C, Execution time: 1340 ms, Total distance: 153.434
Instance: small8-10A, Execution time: 3341 ms, Total distance: 252.194
Instance: small8-10B, Execution time: 3450 ms, Total distance: 254.997
