Instance: chao_1.25, Execution time: 35380 ms, Total distance: 519.003
Instance: chao_1.30a, Execution time: 50506 ms, Total distance: 737.799
Instance: chao_1.30b, Execution time: 57036 ms, Total distance: 547.142
Instance: chao_1.30c, Execution time: 49406 ms, Total distance: 503.887
Instance: chao_1.40a, Execution time: 86895 ms, Total distance: 828.87
Instance: chao_1.40b, Execution time: 90656 ms, Total distance: 721.685
Instance: chao_1.40c, Execution time: 61005 ms, Total distance: 665.415
Instance: chao_10.25, Execution time: 38017 ms, Total distance: 531.626
Instance: chao_10.30a, Execution time: 52998 ms, Total distance: 619.586
Instance: chao_10.30b, Execution time: 56139 ms, Total distance: 605.969
Instance: chao_10.30c, Execution time: 45943 ms, Total distance: 555.13
Instance: chao_10.40a, Execution time: 92397 ms, Total distance: 784.526
Instance: chao_10.40b, Execution time: 92105 ms, Total distance: 722.049
Instance: chao_10.40c, Execution time: 91124 ms, Total distance: 1.79769
Instance: chao_11.25, Execution time: 32412 ms, Total distance: 745.685
Instance: chao_11.30a, Execution time: 49870 ms, Total distance: 924.593
Instance: chao_11.30b, Execution time: 51506 ms, Total distance: 671.389
Instance: chao_11.30c, Execution time: 42368 ms, Total distance: 1.79769
Instance: chao_11.40a, Execution time: 84226 ms, Total distance: 1.79769
Instance: chao_11.40b, Execution time: 82932 ms, Total distance: 911.635
Instance: chao_11.40c, Execution time: 79903 ms, Total distance: 1.79769
Instance: chao_12.25, Execution time: 31281 ms, Total distance: 1.79769
Instance: chao_12.30a, Execution time: 40137 ms, Total distance: 1.79769
Instance: chao_12.30b, Execution time: 37917 ms, Total distance: 1.79769
Instance: chao_12.30c, Execution time: 35724 ms, Total distance: 1.79769
Instance: chao_12.40a, Execution time: 67984 ms, Total distance: 1.79769
Instance: chao_12.40b, Execution time: 61469 ms, Total distance: 1.79769
Instance: chao_12.40c, Execution time: 57343 ms, Total distance: 1.79769
Instance: chao_2.25, Execution time: 30145 ms, Total distance: 660.213
Instance: chao_2.30a, Execution time: 55619 ms, Total distance: 1.79769
Instance: chao_2.30b, Execution time: 50465 ms, Total distance: 617.923
Instance: chao_2.30c, Execution time: 46398 ms, Total distance: 1.79769
Instance: chao_2.40a, Execution time: 87213 ms, Total distance: 1056.42
Instance: chao_2.40b, Execution time: 92781 ms, Total distance: 1.79769
Instance: chao_2.40c, Execution time: 73625 ms, Total distance: 1.79769
Instance: chao_3.25, Execution time: 34469 ms, Total distance: 1.79769
Instance: chao_3.30a, Execution time: 49694 ms, Total distance: 1.79769
Instance: chao_3.30b, Execution time: 50328 ms, Total distance: 1.79769
Instance: chao_3.30c, Execution time: 42851 ms, Total distance: 1.79769
Instance: chao_3.40a, Execution time: 88004 ms, Total distance: 1.79769
Instance: chao_3.40b, Execution time: 90085 ms, Total distance: 1430.91
Instance: chao_3.40c, Execution time: 67608 ms, Total distance: 1.79769
Instance: chao_4.25, Execution time: 37651 ms, Total distance: 658.607
Instance: chao_4.30a, Execution time: 58884 ms, Total distance: 1.79769
Instance: chao_4.30b, Execution time: 56885 ms, Total distance: 557.811
Instance: chao_4.30c, Execution time: 60199 ms, Total distance: 511.902
