Instance: chao_1.25, Execution time: 8096 ms, Total distance: 432.874
Instance: chao_1.30a, Execution time: 11164 ms, Total distance: 535.002
Instance: chao_1.30b, Execution time: 10944 ms, Total distance: 497.676
Instance: chao_1.30c, Execution time: 9532 ms, Total distance: 531.606
Instance: chao_1.40a, Execution time: 19228 ms, Total distance: 725.466
Instance: chao_1.40b, Execution time: 19196 ms, Total distance: 633.867
Instance: chao_1.40c, Execution time: 15383 ms, Total distance: 705.415
Instance: chao_10.25, Execution time: 7997 ms, Total distance: 500.089
Instance: chao_10.30a, Execution time: 11566 ms, Total distance: 582.16
Instance: chao_10.30b, Execution time: 11091 ms, Total distance: 537.009
Instance: chao_10.30c, Execution time: 9443 ms, Total distance: 620.68
Instance: chao_10.40a, Execution time: 18787 ms, Total distance: 758.492
Instance: chao_10.40b, Execution time: 18751 ms, Total distance: 698.285
Instance: chao_10.40c, Execution time: 15059 ms, Total distance: 840.897
Instance: chao_11.25, Execution time: 8101 ms, Total distance: 521.901
Instance: chao_11.30a, Execution time: 11573 ms, Total distance: 577.189
Instance: chao_11.30b, Execution time: 11321 ms, Total distance: 498.53
Instance: chao_11.30c, Execution time: 9191 ms, Total distance: 568.108
Instance: chao_11.40a, Execution time: 18903 ms, Total distance: 790.147
Instance: chao_11.40b, Execution time: 19007 ms, Total distance: 683.917
Instance: chao_11.40c, Execution time: 14726 ms, Total distance: 857.826
Instance: chao_12.25, Execution time: 8066 ms, Total distance: 535.614
Instance: chao_12.30a, Execution time: 11551 ms, Total distance: 683.236
Instance: chao_12.30b, Execution time: 11395 ms, Total distance: 580.515
Instance: chao_12.30c, Execution time: 9298 ms, Total distance: 670.874
Instance: chao_12.40a, Execution time: 18366 ms, Total distance: 862.839
Instance: chao_12.40b, Execution time: 18738 ms, Total distance: 766.441
Instance: chao_12.40c, Execution time: 14581 ms, Total distance: 892.357
Instance: chao_2.25, Execution time: 8107 ms, Total distance: 486.517
Instance: chao_2.30a, Execution time: 11466 ms, Total distance: 560.292
Instance: chao_2.30b, Execution time: 11422 ms, Total distance: 518.672
Instance: chao_2.30c, Execution time: 9593 ms, Total distance: 533.123
Instance: chao_2.40a, Execution time: 19342 ms, Total distance: 754.762
Instance: chao_2.40b, Execution time: 19200 ms, Total distance: 697.13
Instance: chao_2.40c, Execution time: 15695 ms, Total distance: 718.039
Instance: chao_3.25, Execution time: 8947 ms, Total distance: 498.026
Instance: chao_3.30a, Execution time: 12209 ms, Total distance: 585.101
Instance: chao_3.30b, Execution time: 12075 ms, Total distance: 542.723
Instance: chao_3.30c, Execution time: 10442 ms, Total distance: 531.658
Instance: chao_3.40a, Execution time: 20150 ms, Total distance: 764.946
Instance: chao_3.40b, Execution time: 19312 ms, Total distance: 751.586
Instance: chao_3.40c, Execution time: 15347 ms, Total distance: 687.953
Instance: chao_4.25, Execution time: 8405 ms, Total distance: 477.412
Instance: chao_4.30a, Execution time: 12040 ms, Total distance: 554.253
Instance: chao_4.30b, Execution time: 11490 ms, Total distance: 476.778
Instance: chao_4.30c, Execution time: 9857 ms, Total distance: 546.565
Instance: chao_4.40a, Execution time: 19331 ms, Total distance: 730.106
Instance: chao_4.40b, Execution time: 19892 ms, Total distance: 646.083
Instance: chao_4.40c, Execution time: 15512 ms, Total distance: 708.773
Instance: chao_5.25, Execution time: 7958 ms, Total distance: 494.842
Instance: chao_5.30a, Execution time: 11240 ms, Total distance: 606.815
Instance: chao_5.30b, Execution time: 12100 ms, Total distance: 522.774
Instance: chao_5.30c, Execution time: 9469 ms, Total distance: 558.779
Instance: chao_5.40a, Execution time: 20022 ms, Total distance: 787.715
Instance: chao_5.40b, Execution time: 20314 ms, Total distance: 668.274
Instance: chao_5.40c, Execution time: 15347 ms, Total distance: 731.787
Instance: chao_6.25, Execution time: 8344 ms, Total distance: 546.367
Instance: chao_6.30a, Execution time: 11663 ms, Total distance: 685.527
Instance: chao_6.30b, Execution time: 11832 ms, Total distance: 562.019
Instance: chao_6.30c, Execution time: 9250 ms, Total distance: 590.612
Instance: chao_6.40a, Execution time: 19745 ms, Total distance: 919.465
Instance: chao_6.40b, Execution time: 19876 ms, Total distance: 727.31
Instance: chao_6.40c, Execution time: 15294 ms, Total distance: 778.298
Instance: chao_7.25, Execution time: 7969 ms, Total distance: 444.29
Instance: chao_7.30a, Execution time: 11319 ms, Total distance: 509.75
Instance: chao_7.30b, Execution time: 11620 ms, Total distance: 494.173
Instance: chao_7.30c, Execution time: 10548 ms, Total distance: 516.658
Instance: chao_7.40a, Execution time: 20163 ms, Total distance: 663.658
Instance: chao_7.40b, Execution time: 19816 ms, Total distance: 648.688
Instance: chao_7.40c, Execution time: 17536 ms, Total distance: 615.029
Instance: chao_8.25, Execution time: 8046 ms, Total distance: 487.671
Instance: chao_8.30a, Execution time: 11297 ms, Total distance: 529.736
Instance: chao_8.30b, Execution time: 11763 ms, Total distance: 528.121
Instance: chao_8.30c, Execution time: 9677 ms, Total distance: 633.537
Instance: chao_8.40a, Execution time: 20393 ms, Total distance: 679.772
Instance: chao_8.40b, Execution time: 20013 ms, Total distance: 635.344
Instance: chao_8.40c, Execution time: 14515 ms, Total distance: 767.603
Instance: chao_9.25, Execution time: 7807 ms, Total distance: 515.336
Instance: chao_9.30a, Execution time: 11063 ms, Total distance: 648.498
Instance: chao_9.30b, Execution time: 11333 ms, Total distance: 602.935
Instance: chao_9.30c, Execution time: 10165 ms, Total distance: 579.516
Instance: chao_9.40a, Execution time: 18519 ms, Total distance: 746.81
Instance: chao_9.40b, Execution time: 20327 ms, Total distance: 719.224
Instance: chao_9.40c, Execution time: 16913 ms, Total distance: 654.853
